entry_dt,entry_px,sl,tp1,kind,exit_dt,exit_px,reason,pnl_pct,tp1_hit,tp1_dt,tp1_px
2025-01-20 08:00,107120.65,101081.34217067857,113159.95782932141,pullback resume,2025-01-20 16:00,101081.34217067857,initial stop,-5.713330464334576,False,,
2025-02-03 20:00,101879.99,96241.71326250806,107518.26673749195,fresh regime,2025-02-04 08:00,98448.01,regime off,-3.4459393412959782,False,,
2025-04-20 16:00,84344.65,82656.98054553589,86032.3194544641,fresh regime,2025-05-04 20:00,94922.23169537206,breakeven/trail stop,7.185112785247494,True,2025-04-21 00:00:00+00:00,86032.3194544641
2025-05-06 20:00,94963.5,92741.68918258914,97185.31081741086,pullback resume,2025-05-12 16:00,100920.33862557315,breakeven/trail stop,4.22277855193498,True,2025-05-07 00:00:00+00:00,97185.31081741086
2025-05-13 12:00,103729.2,100321.58160908538,107136.81839091462,pullback resume,2025-05-28 12:00,107263.64007415713,breakeven/trail stop,3.26358074793458,True,2025-05-20 16:00:00+00:00,107136.81839091462
2025-05-29 12:00,108779.83,105768.40069341178,111791.25930658822,pullback resume,2025-05-29 16:00,105768.40069341178,initial stop,-2.8461407819802775,False,,
2025-06-02 00:00,105642.93,103089.77436371986,108196.08563628013,pullback resume,2025-06-05 16:00,103089.77436371986,initial stop,-2.494829480219085,False,,
2025-06-06 16:00,105092.28,102094.00519019032,108090.55480980968,fresh regime,2025-06-06 20:00,104219.8,regime off,-0.9095236727493128,False,,
2025-06-07 04:00,104871.59,102015.13204367644,107728.04795632356,fresh regime,2025-06-12 12:00,106680.83957705584,breakeven/trail stop,2.1427226996247217,True,2025-06-09 08:00:00+00:00,107728.04795632356
2025-06-14 00:00,106066.59,102968.85394147564,109164.32605852436,fresh regime,2025-06-14 04:00,105228.83,regime off,-0.869195688658575,False,,
2025-06-16 08:00,107061.8,104573.64234678901,109549.957653211,fresh regime,2025-06-17 12:00,105641.48,regime off,-1.405558547832364,False,,
2025-06-25 20:00,107761.67,104577.24918728074,110946.09081271925,fresh regime,2025-06-27 00:00,106947.06,month breaker,-0.8353160604047782,False,,
2025-07-02 00:00,105681.13,103616.77522173499,107745.48477826502,fresh regime,2025-07-06 08:00,107988.36274665875,breakeven/trail stop,1.9866531349160388,True,2025-07-02 08:00:00+00:00,107745.48477826502
2025-07-06 16:00,108906.0,107292.09465620322,110519.90534379678,pullback resume,2025-07-15 00:00,118355.20117015451,breakeven/trail stop,4.99515318199053,True,2025-07-09 16:00:00+00:00,110519.90534379678
2025-07-16 08:00,118189.24,114512.82127523895,121865.65872476106,pullback resume,2025-08-01 00:00,114512.82127523895,initial stop,-3.1881164983629584,False,,
2025-08-07 12:00,116519.54,113921.38251689462,119117.69748310537,fresh regime,2025-08-10 00:00,116462.25,regime off,-0.1291123926853932,False,,
2025-08-10 04:00,118500.0,116142.07623197768,120857.92376802232,fresh regime,2025-08-11 20:00,118500.0,breakeven/trail stop,0.9141247790192875,True,2025-08-11 00:00:00+00:00,120857.92376802232
2025-08-12 16:00,119933.0,117047.14019341838,122818.85980658162,pullback resume,2025-08-14 12:00,119933.0,breakeven/trail stop,1.1221670261871042,True,2025-08-13 16:00:00+00:00,122818.85980658162
2025-08-16 08:00,117596.07,114534.7790324787,120657.36096752131,fresh regime,2025-08-16 12:00,117378.52,regime off,-0.2648337103755338,False,,
2025-08-16 16:00,117676.7,114855.4542167801,120497.9457832199,fresh regime,2025-08-17 00:00,117380.66,regime off,-0.33135340054097906,False,,
